species,bill_length_mm,bill_depth_mm,flipper_length_mm
Adelie,39.1,18.7,181
Adelie,39.5,17.4,186
Adelie,40.3,18,195
Adelie,36.7,19.3,193
Adelie,39.3,20.6,190
Adelie,38.9,17.8,181
Adelie,39.2,19.6,195
Adelie,34.1,18.1,193
Adelie,42,20.2,190
Adelie,37.8,17.1,186
Adelie,37.8,17.3,180
Adelie,41.1,17.6,182
Adelie,38.6,21.2,191
Adelie,34.6,21.1,198
Adelie,36.6,17.8,185
Adelie,38.7,19,195
Adelie,42.5,20.7,197
Adelie,34.4,18.4,184
Adelie,46,21.5,194
Adelie,37.8,18.3,174
Adelie,37.7,18.7,180
Adelie,35.9,19.2,189
Adelie,38.2,18.1,185
Adelie,38.8,17.2,180
Adelie,35.3,18.9,187
Adelie,40.6,18.6,183
Adelie,40.5,17.9,187
Adelie,37.9,18.6,172
Adelie,40.5,18.9,180
Adelie,39.5,16.7,178
Adelie,37.2,18.1,178
Adelie,39.5,17.8,188
Adelie,40.9,18.9,184
Adelie,36.4,17,195
Adelie,39.2,21.1,196
Adelie,38.8,20,190
Adelie,42.2,18.5,180
Adelie,37.6,19.3,181
Adelie,39.8,19.1,184
Adelie,36.5,18,182
Adelie,40.8,18.4,195
Adelie,36,18.5,186
Adelie,44.1,19.7,196
Adelie,37,16.9,185
Adelie,39.6,18.8,190
Adelie,41.1,19,182
Adelie,37.5,18.9,179
Adelie,36,17.9,190
Adelie,42.3,21.2,191
Adelie,39.6,17.7,186
Adelie,40.1,18.9,188
Adelie,35,17.9,190
Adelie,42,19.5,200
Adelie,34.5,18.1,187
Adelie,41.4,18.6,191
Adelie,39,17.5,186
Adelie,40.6,18.8,193
Adelie,36.5,16.6,181
Adelie,37.6,19.1,194
Adelie,35.7,16.9,185
Adelie,41.3,21.1,195
Adelie,37.6,17,185
Adelie,41.1,18.2,192
Adelie,36.4,17.1,184
Adelie,41.6,18,192
Adelie,35.5,16.2,195
Adelie,41.1,19.1,188
Adelie,35.9,16.6,190
Adelie,41.8,19.4,198
Adelie,33.5,19,190
Adelie,39.7,18.4,190
Adelie,39.6,17.2,196
Adelie,45.8,18.9,197
Adelie,35.5,17.5,190
Adelie,42.8,18.5,195
Adelie,40.9,16.8,191
Adelie,37.2,19.4,184
Adelie,36.2,16.1,187
Adelie,42.1,19.1,195
Adelie,34.6,17.2,189
Adelie,42.9,17.6,196
Adelie,36.7,18.8,187
Adelie,35.1,19.4,193
Adelie,37.3,17.8,191
Adelie,41.3,20.3,194
Adelie,36.3,19.5,190
Adelie,36.9,18.6,189
Adelie,38.3,19.2,189
Adelie,38.9,18.8,190
Adelie,35.7,18,202
Adelie,41.1,18.1,205
Adelie,34,17.1,185
Adelie,39.6,18.1,186
Adelie,36.2,17.3,187
Adelie,40.8,18.9,208
Adelie,38.1,18.6,190
Adelie,40.3,18.5,196
Adelie,33.1,16.1,178
Adelie,43.2,18.5,192
