,AGE,BOTTLER,BRAND,Body,CASK TYPE,CHILL FILTERED,Coutry of origin,COLOURING,COMPANY,COUNTRY,Classification,FINISH,FLAVOUR,GRAPE,GRAPE TYPE,Main_Category,NOSE,PALATE,Price,Product_Variant,REGION,SIZE,STYLE,Sub_Category,Sub_Sub_Category,TEMPERATURE,TYPES,Unnamed: 0,VINTAGE,product description,VOLUME
0,,,,,,,Indian,,,['INDIA'],,,,,,Spirits ,,,1450.00,LEGACY BLENDED WHISKY_750ML,,"['750ML', '180ML', '375ML']",,indian-whiskey,Blended,,,0,,"A premium blended whisky a one
of kind blend of Indian and Scottish malts, crafted with Indian grains to
create a truly Indian taste., A premium blended whisky
–a one of kind blend of Indian and Scottish malts, crafted with Indian grains
to create a truly Indian taste., A rich blend of fruity
notes layered with subtle peaty flavour., Undertones of toasted oak,
a whiff of spice, topped with a delicate sweet vanillic smoky finish., Impeccably smooth, perfectly
balanced.",750
1,,,,,,,Indian,,,['INDIA'],,,,,,Spirits ,,,350.00,LEGACY BLENDED WHISKY_180ML,,"['750ML', '180ML', '375ML']",,indian-whiskey,Blended,,,0,,"A premium blended whisky a one
of kind blend of Indian and Scottish malts, crafted with Indian grains to
create a truly Indian taste., A premium blended whisky
–a one of kind blend of Indian and Scottish malts, crafted with Indian grains
to create a truly Indian taste., A rich blend of fruity
notes layered with subtle peaty flavour., Undertones of toasted oak,
a whiff of spice, topped with a delicate sweet vanillic smoky finish., Impeccably smooth, perfectly
balanced.",180
2,,,,,,,Indian,,,['INDIA'],,,,,,Spirits ,,,725.00,LEGACY BLENDED WHISKY_375ML,,"['750ML', '180ML', '375ML']",,indian-whiskey,Blended,,,0,,"A premium blended whisky a one
of kind blend of Indian and Scottish malts, crafted with Indian grains to
create a truly Indian taste., A premium blended whisky
–a one of kind blend of Indian and Scottish malts, crafted with Indian grains
to create a truly Indian taste., A rich blend of fruity
notes layered with subtle peaty flavour., Undertones of toasted oak,
a whiff of spice, topped with a delicate sweet vanillic smoky finish., Impeccably smooth, perfectly
balanced.",375
3,,,['OAKSMITH'],,,,Indian,,,['INDIA'],,,,,,Spirits ,,,365.00,OAKSMITH GOLD INTERNATIONAL BLENDED WHISKY_180ML,,"['180ML', '375ML', '750ML']",,indian-whiskey,Blended,,['BLENDED WHISKEY'],1,,"Oaksmith Gold International Blended Whisky is a
rare blend of Scotch Malt whiskies and Kentucky Straight Bourbon Whisky, some
from distilleries over 200 years old - with the finest grain spirits. This
delicate blend is crafted by globally revered blender from Japan – Shinji
Fukuyo, Chief Blender Suntory, the Founding House of Japanese Whisky - and who
has created some of the world’s most awarded whiskies like Yamazaki and Hibiki.
As a result, the taste is rich, smooth and uniquely international., Color - Rich Gold, Aroma - Rich fruity
and sweet top note followed by a hint of smoke (peat)., Flavor - Mild but
full-body with woodiness originated from oak cask., Finish - Clean and
smooth. ",180
4,,,['OAKSMITH'],,,,Indian,,,['INDIA'],,,,,,Spirits ,,,725.00,OAKSMITH GOLD INTERNATIONAL BLENDED WHISKY_375ML,,"['180ML', '375ML', '750ML']",,indian-whiskey,Blended,,['BLENDED WHISKEY'],1,,"Oaksmith Gold International Blended Whisky is a
rare blend of Scotch Malt whiskies and Kentucky Straight Bourbon Whisky, some
from distilleries over 200 years old - with the finest grain spirits. This
delicate blend is crafted by globally revered blender from Japan – Shinji
Fukuyo, Chief Blender Suntory, the Founding House of Japanese Whisky - and who
has created some of the world’s most awarded whiskies like Yamazaki and Hibiki.
As a result, the taste is rich, smooth and uniquely international., Color - Rich Gold, Aroma - Rich fruity
and sweet top note followed by a hint of smoke (peat)., Flavor - Mild but
full-body with woodiness originated from oak cask., Finish - Clean and
smooth. ",375
5,,,['OAKSMITH'],,,,Indian,,,['INDIA'],,,,,,Spirits ,,,1445.00,OAKSMITH GOLD INTERNATIONAL BLENDED WHISKY_750ML,,"['180ML', '375ML', '750ML']",,indian-whiskey,Blended,,['BLENDED WHISKEY'],1,,"Oaksmith Gold International Blended Whisky is a
rare blend of Scotch Malt whiskies and Kentucky Straight Bourbon Whisky, some
from distilleries over 200 years old - with the finest grain spirits. This
delicate blend is crafted by globally revered blender from Japan – Shinji
Fukuyo, Chief Blender Suntory, the Founding House of Japanese Whisky - and who
has created some of the world’s most awarded whiskies like Yamazaki and Hibiki.
As a result, the taste is rich, smooth and uniquely international., Color - Rich Gold, Aroma - Rich fruity
and sweet top note followed by a hint of smoke (peat)., Flavor - Mild but
full-body with woodiness originated from oak cask., Finish - Clean and
smooth. ",750
6,,,['OAKSMITH'],,,,Indian,,,['INDIA'],,,,,,Spirits ,,,235.00,OAKSMITH INTERNATIONAL BLENDED WHISKY_180ML,,"['180ML', '375ML', '750ML']",,indian-whiskey,Blended,,['BLENDED WHISKEY'],2,,"Oaksmith International Blended
Whisky aims to set a new standard by being the first in India to blend Scotch
Malt Whiskies, Kentucky Straight Bourbon Whisky - some from distilleries over
200 years old - with the finest grain spirits. This blend is crafted by
globally revered blender from Japan – Shinji Fukuyo, Chief Blender Suntory, the
Founding House of Japanese Whisky - and who has created some of the world’s
most awarded whiskies like Yamazaki and Hibiki., Color - Warm Amber, Aroma - Soft touch to
nose including grain sweetness., Flavor - Clean and
mild with peat accent and oak woodiness., Finish - Layer of spice
and peat. Clean and beautiful.",180
7,,,['OAKSMITH'],,,,Indian,,,['INDIA'],,,,,,Spirits ,,,470.00,OAKSMITH INTERNATIONAL BLENDED WHISKY_375ML,,"['180ML', '375ML', '750ML']",,indian-whiskey,Blended,,['BLENDED WHISKEY'],2,,"Oaksmith International Blended
Whisky aims to set a new standard by being the first in India to blend Scotch
Malt Whiskies, Kentucky Straight Bourbon Whisky - some from distilleries over
200 years old - with the finest grain spirits. This blend is crafted by
globally revered blender from Japan – Shinji Fukuyo, Chief Blender Suntory, the
Founding House of Japanese Whisky - and who has created some of the world’s
most awarded whiskies like Yamazaki and Hibiki., Color - Warm Amber, Aroma - Soft touch to
nose including grain sweetness., Flavor - Clean and
mild with peat accent and oak woodiness., Finish - Layer of spice
and peat. Clean and beautiful.",375
8,,,['OAKSMITH'],,,,Indian,,,['INDIA'],,,,,,Spirits ,,,935.00,OAKSMITH INTERNATIONAL BLENDED WHISKY_750ML,,"['180ML', '375ML', '750ML']",,indian-whiskey,Blended,,['BLENDED WHISKEY'],2,,"Oaksmith International Blended
Whisky aims to set a new standard by being the first in India to blend Scotch
Malt Whiskies, Kentucky Straight Bourbon Whisky - some from distilleries over
200 years old - with the finest grain spirits. This blend is crafted by
globally revered blender from Japan – Shinji Fukuyo, Chief Blender Suntory, the
Founding House of Japanese Whisky - and who has created some of the world’s
most awarded whiskies like Yamazaki and Hibiki., Color - Warm Amber, Aroma - Soft touch to
nose including grain sweetness., Flavor - Clean and
mild with peat accent and oak woodiness., Finish - Layer of spice
and peat. Clean and beautiful.",750
9,,,['ROYAL RANTHAMBORE'],,,,Indian,,,['INDIA'],,,,,,Spirits ,,,2700.00,ROYAL RANTHAMBORE_750ML,,"['750ML', '180ML', '375ML']",,indian-whiskey,Blended,,['BLENDED WHISKEY'],3,,"Royal Ranthambore is crafted
from different bespoke blended malt scotch from various regions of Scotland.
Scotch grain is also blended to harmonize the Whisky., Royal Ranthambore is crafted
from different bespoke blended malt scotch from various regions of Scotland.
Scotch grain is also blended to harmonize the Whisky.",750
10,,,['ROYAL RANTHAMBORE'],,,,Indian,,,['INDIA'],,,,,,Spirits ,,,675.00,ROYAL RANTHAMBORE_180ML,,"['750ML', '180ML', '375ML']",,indian-whiskey,Blended,,['BLENDED WHISKEY'],3,,"Royal Ranthambore is crafted
from different bespoke blended malt scotch from various regions of Scotland.
Scotch grain is also blended to harmonize the Whisky., Royal Ranthambore is crafted
from different bespoke blended malt scotch from various regions of Scotland.
Scotch grain is also blended to harmonize the Whisky.",180
11,,,['ROYAL RANTHAMBORE'],,,,Indian,,,['INDIA'],,,,,,Spirits ,,,1350.00,ROYAL RANTHAMBORE_375ML,,"['750ML', '180ML', '375ML']",,indian-whiskey,Blended,,['BLENDED WHISKEY'],3,,"Royal Ranthambore is crafted
from different bespoke blended malt scotch from various regions of Scotland.
Scotch grain is also blended to harmonize the Whisky., Royal Ranthambore is crafted
from different bespoke blended malt scotch from various regions of Scotland.
Scotch grain is also blended to harmonize the Whisky.",375
12,,,['ANTIQUITY BLUE'],,,,Indian,,,['INDIA'],,,,,,Spirits ,,,380.00,ANTIQUITY BLUE_180ML,,"['1 Ltr', '180ML', '2000ML', '375ML', '750ML', '90ML']",,indian-whiskey,Blended,,['BLENDED WHISKEY'],4,,"Antiquity blue is the true blue of whiskies. Made
of the finest indian malts and rare scotch carefully blended with
premium grain spirit, it is painstakingly distilled in copper pot stills,
matured and mellowed in imported white oak casks and fused with premium scotch.
The pronounced malt and rich wood aroma, with a whiff of peat and heather
supplements the fantasy while its subtle nuances come from the choicest
components of the blend, giving it a full smooth flavour and a bouquet that
proclaims its royal pedigree. Truly india's finest., Colour: It has an inviting antique gold colour which makes it very
discerning., <span style=""font-size: 10pt; font-family: Helvetica, sans-serif;"">Aroma: The pronounced malt &amp; rich
wood aroma, with a whiff of peat and heather supplements the fantasy., <span style=""font-size: 10pt; font-family: Helvetica, sans-serif;"">Taste: Savour the mellow taste of
Antiquity Blue by rolling the whisky around your tongue to experience the
smooth velvety feel. Its uncompromising richness is present through the complex
texture of oak wood which imposes itself on the totality of the taste., Finish: Velvety smooth, long, carved
out in detail, a blend worth indulging in.",180
13,,,['ANTIQUITY BLUE'],,,,Indian,,,['INDIA'],,,,,,Spirits ,,,3540.00,ANTIQUITY BLUE_2000ML,,"['1 Ltr', '180ML', '2000ML', '375ML', '750ML', '90ML']",,indian-whiskey,Blended,,['BLENDED WHISKEY'],4,,"Antiquity blue is the true blue of whiskies. Made
of the finest indian malts and rare scotch carefully blended with
premium grain spirit, it is painstakingly distilled in copper pot stills,
matured and mellowed in imported white oak casks and fused with premium scotch.
The pronounced malt and rich wood aroma, with a whiff of peat and heather
supplements the fantasy while its subtle nuances come from the choicest
components of the blend, giving it a full smooth flavour and a bouquet that
proclaims its royal pedigree. Truly india's finest., Colour: It has an inviting antique gold colour which makes it very
discerning., <span style=""font-size: 10pt; font-family: Helvetica, sans-serif;"">Aroma: The pronounced malt &amp; rich
wood aroma, with a whiff of peat and heather supplements the fantasy., <span style=""font-size: 10pt; font-family: Helvetica, sans-serif;"">Taste: Savour the mellow taste of
Antiquity Blue by rolling the whisky around your tongue to experience the
smooth velvety feel. Its uncompromising richness is present through the complex
texture of oak wood which imposes itself on the totality of the taste., Finish: Velvety smooth, long, carved
out in detail, a blend worth indulging in.",2000
14,,,['ANTIQUITY BLUE'],,,,Indian,,,['INDIA'],,,,,,Spirits ,,,760.00,ANTIQUITY BLUE_375ML,,"['1 Ltr', '180ML', '2000ML', '375ML', '750ML', '90ML']",,indian-whiskey,Blended,,['BLENDED WHISKEY'],4,,"Antiquity blue is the true blue of whiskies. Made
of the finest indian malts and rare scotch carefully blended with
premium grain spirit, it is painstakingly distilled in copper pot stills,
matured and mellowed in imported white oak casks and fused with premium scotch.
The pronounced malt and rich wood aroma, with a whiff of peat and heather
supplements the fantasy while its subtle nuances come from the choicest
components of the blend, giving it a full smooth flavour and a bouquet that
proclaims its royal pedigree. Truly india's finest., Colour: It has an inviting antique gold colour which makes it very
discerning., <span style=""font-size: 10pt; font-family: Helvetica, sans-serif;"">Aroma: The pronounced malt &amp; rich
wood aroma, with a whiff of peat and heather supplements the fantasy., <span style=""font-size: 10pt; font-family: Helvetica, sans-serif;"">Taste: Savour the mellow taste of
Antiquity Blue by rolling the whisky around your tongue to experience the
smooth velvety feel. Its uncompromising richness is present through the complex
texture of oak wood which imposes itself on the totality of the taste., Finish: Velvety smooth, long, carved
out in detail, a blend worth indulging in.",375
15,,,['ANTIQUITY BLUE'],,,,Indian,,,['INDIA'],,,,,,Spirits ,,,200.00,ANTIQUITY BLUE_90ML,,"['1 Ltr', '180ML', '2000ML', '375ML', '750ML', '90ML']",,indian-whiskey,Blended,,['BLENDED WHISKEY'],4,,"Antiquity blue is the true blue of whiskies. Made
of the finest indian malts and rare scotch carefully blended with
premium grain spirit, it is painstakingly distilled in copper pot stills,
matured and mellowed in imported white oak casks and fused with premium scotch.
The pronounced malt and rich wood aroma, with a whiff of peat and heather
supplements the fantasy while its subtle nuances come from the choicest
components of the blend, giving it a full smooth flavour and a bouquet that
proclaims its royal pedigree. Truly india's finest., Colour: It has an inviting antique gold colour which makes it very
discerning., <span style=""font-size: 10pt; font-family: Helvetica, sans-serif;"">Aroma: The pronounced malt &amp; rich
wood aroma, with a whiff of peat and heather supplements the fantasy., <span style=""font-size: 10pt; font-family: Helvetica, sans-serif;"">Taste: Savour the mellow taste of
Antiquity Blue by rolling the whisky around your tongue to experience the
smooth velvety feel. Its uncompromising richness is present through the complex
texture of oak wood which imposes itself on the totality of the taste., Finish: Velvety smooth, long, carved
out in detail, a blend worth indulging in.",90
